surname,frequency,cumulative_frequency,rank,source
ELLENS,0.0,83.696,38099,US Census 1990
ELHARD,0.0,83.697,38100,US Census 1990
ELFERS,0.0,83.697,38101,US Census 1990
ELAZEGUI,0.0,83.697,38102,US Census 1990
EISERMANN,0.0,83.697,38103,US Census 1990
EILERTSON,0.0,83.697,38104,US Census 1990
EIBEN,0.0,83.698,38105,US Census 1990
EHRHARD,0.0,83.698,38106,US Census 1990
EHRESMAN,0.0,83.698,38107,US Census 1990
EGOLF,0.0,83.698,38108,US Census 1990
EGNEW,0.0,83.699,38109,US Census 1990
EGGINS,0.0,83.699,38110,US Census 1990
EFRON,0.0,83.699,38111,US Census 1990
EFFLAND,0.0,83.699,38112,US Census 1990
EDUARDO,0.0,83.699,38113,US Census 1990
EDMINSTER,0.0,83.7,38114,US Census 1990
EDGESTON,0.0,83.7,38115,US Census 1990
EDE,0.0,83.7,38116,US Census 1990
ECKSTROM,0.0,83.7,38117,US Census 1990
ECKHARD,0.0,83.701,38118,US Census 1990
ECKFORD,0.0,83.701,38119,US Census 1990
ECHOLES,0.0,83.701,38120,US Census 1990
EBSEN,0.0,83.701,38121,US Census 1990
EATHERLY,0.0,83.701,38122,US Census 1990
EASTLICK,0.0,83.702,38123,US Census 1990
EARNHEART,0.0,83.702,38124,US Census 1990
EAR,0.0,83.702,38125,US Census 1990
DYKHUIZEN,0.0,83.702,38126,US Census 1990
DYAS,0.0,83.703,38127,US Census 1990
DUTTWEILER,0.0,83.703,38128,US Census 1990
DUTKA,0.0,83.703,38129,US Census 1990
DUTCH,0.0,83.703,38130,US Census 1990
DUSENBURY,0.0,83.703,38131,US Census 1990
DUSENBERY,0.0,83.704,38132,US Census 1990
DURRE,0.0,83.704,38133,US Census 1990
DURNIL,0.0,83.704,38134,US Census 1990
DURNELL,0.0,83.704,38135,US Census 1990
DURIE,0.0,83.705,38136,US Census 1990
DURHAN,0.0,83.705,38137,US Census 1990
DURANDO,0.0,83.705,38138,US Census 1990
DUPRIEST,0.0,83.705,38139,US Census 1990
DUNSMOOR,0.0,83.705,38140,US Census 1990
DUNSEITH,0.0,83.706,38141,US Census 1990
DUNNUM,0.0,83.706,38142,US Census 1990
DUNMAN,0.0,83.706,38143,US Census 1990
DUNLEVY,0.0,83.706,38144,US Census 1990
DUMA,0.0,83.707,38145,US Census 1990
DULUDE,0.0,83.707,38146,US Census 1990
DULONG,0.0,83.707,38147,US Census 1990
DUIGNAN,0.0,83.707,38148,US Census 1990
DUGAR,0.0,83.708,38149,US Census 1990
DUFEK,0.0,83.708,38150,US Census 1990
DUCOS,0.0,83.708,38151,US Census 1990
DUCHAINE,0.0,83.708,38152,US Census 1990
DUCH,0.0,83.708,38153,US Census 1990
DUBOW,0.0,83.709,38154,US Census 1990
DROWNE,0.0,83.709,38155,US Census 1990
DROSS,0.0,83.709,38156,US Census 1990
DROLLINGER,0.0,83.709,38157,US Census 1990
DROKE,0.0,83.71,38158,US Census 1990
DRIGGARS,0.0,83.71,38159,US Census 1990
DREDGE,0.0,83.71,38160,US Census 1990
DRAWHORN,0.0,83.71,38161,US Census 1990
DRACH,0.0,83.71,38162,US Census 1990
DRABEK,0.0,83.711,38163,US Census 1990
DOYNE,0.0,83.711,38164,US Census 1990
DOUKAS,0.0,83.711,38165,US Census 1990
DORVIL,0.0,83.711,38166,US Census 1990
DOROW,0.0,83.712,38167,US Census 1990
DOROSKI,0.0,83.712,38168,US Census 1990
DORNAK,0.0,83.712,38169,US Census 1990
DORMER,0.0,83.712,38170,US Census 1990
DORIAN,0.0,83.712,38171,US Census 1990
DONNELSON,0.0,83.713,38172,US Census 1990
DONNA,0.0,83.713,38173,US Census 1990
DONN,0.0,83.713,38174,US Census 1990
DONIVAN,0.0,83.713,38175,US Census 1990
DONDERO,0.0,83.714,38176,US Census 1990
DOMPE,0.0,83.714,38177,US Census 1990
DOLLE,0.0,83.714,38178,US Census 1990
DOAKES,0.0,83.714,38179,US Census 1990
DIZA,0.0,83.714,38180,US Census 1990
DIXIE,0.0,83.715,38181,US Census 1990
DIVIRGILIO,0.0,83.715,38182,US Census 1990
DITORE,0.0,83.715,38183,US Census 1990
DISTEL,0.0,83.715,38184,US Census 1990
DISIMONE,0.0,83.716,38185,US Census 1990
DISBRO,0.0,83.716,38186,US Census 1990
DIPIERO,0.0,83.716,38187,US Census 1990
DINGSON,0.0,83.716,38188,US Census 1990
DILUZIO,0.0,83.716,38189,US Census 1990
DILLEHAY,0.0,83.717,38190,US Census 1990
DILBERT,0.0,83.717,38191,US Census 1990
DIGIORGIO,0.0,83.717,38192,US Census 1990
DIFLORIO,0.0,83.717,38193,US Census 1990
DIETZLER,0.0,83.718,38194,US Census 1990
DIETSCH,0.0,83.718,38195,US Census 1990
DIETERLE,0.0,83.718,38196,US Census 1990
DIEROLF,0.0,83.718,38197,US Census 1990
DIERKER,0.0,83.718,38198,US Census 1990
DICOSTANZO,0.0,83.719,38199,US Census 1990
DICESARE,0.0,83.719,38200,US Census 1990
DEXHEIMER,0.0,83.719,38201,US Census 1990
DEWITTE,0.0,83.719,38202,US Census 1990
DEWING,0.0,83.72,38203,US Census 1990
DEVOTI,0.0,83.72,38204,US Census 1990
DEVINCENTIS,0.0,83.72,38205,US Census 1990
DEVARY,0.0,83.72,38206,US Census 1990
DEUTSCHMAN,0.0,83.72,38207,US Census 1990
DETTLOFF,0.0,83.721,38208,US Census 1990
DETIENNE,0.0,83.721,38209,US Census 1990
DESTASIO,0.0,83.721,38210,US Census 1990
DEST,0.0,83.721,38211,US Census 1990
DESPARD,0.0,83.722,38212,US Census 1990
DESMET,0.0,83.722,38213,US Census 1990
DESLATTE,0.0,83.722,38214,US Census 1990
DESFOSSES,0.0,83.722,38215,US Census 1990
DERISE,0.0,83.722,38216,US Census 1990
DERENZO,0.0,83.723,38217,US Census 1990
DEPPNER,0.0,83.723,38218,US Census 1990
DEPOLO,0.0,83.723,38219,US Census 1990
DENOYER,0.0,83.723,38220,US Census 1990
DENOON,0.0,83.724,38221,US Census 1990
DENNO,0.0,83.724,38222,US Census 1990
DENNE,0.0,83.724,38223,US Census 1990
DENISTON,0.0,83.724,38224,US Census 1990
DENIKE,0.0,83.724,38225,US Census 1990
DENES,0.0,83.725,38226,US Census 1990
DEMOYA,0.0,83.725,38227,US Census 1990
DEMICK,0.0,83.725,38228,US Census 1990
DEMICCO,0.0,83.725,38229,US Census 1990
DEMETRIOU,0.0,83.726,38230,US Census 1990
DEMANGE,0.0,83.726,38231,US Census 1990
DELVA,0.0,83.726,38232,US Census 1990
DELORGE,0.0,83.726,38233,US Census 1990
DELLEY,0.0,83.726,38234,US Census 1990
DELISIO,0.0,83.727,38235,US Census 1990
DELHOYO,0.0,83.727,38236,US Census 1990
DELGRANDE,0.0,83.727,38237,US Census 1990
DELGATTO,0.0,83.727,38238,US Census 1990
DELCOUR,0.0,83.728,38239,US Census 1990
DELAIR,0.0,83.728,38240,US Census 1990
DEINERT,0.0,83.728,38241,US Census 1990
DEGRUY,0.0,83.728,38242,US Census 1990
DEGRAVE,0.0,83.728,38243,US Census 1990
DEGEYTER,0.0,83.729,38244,US Census 1990
DEFINO,0.0,83.729,38245,US Census 1990
DEFFENBAUGH,0.0,83.729,38246,US Census 1990
DEENER,0.0,83.729,38247,US Census 1990
DECOOK,0.0,83.73,38248,US Census 1990
DECANT,0.0,83.73,38249,US Census 1990
DEBOE,0.0,83.73,38250,US Census 1990
DEBLANC,0.0,83.73,38251,US Census 1990
DEATLEY,0.0,83.73,38252,US Census 1990
DEARMITT,0.0,83.731,38253,US Census 1990
DEALE,0.0,83.731,38254,US Census 1990
DEAGUIAR,0.0,83.731,38255,US Census 1990
DAYAN,0.0,83.731,38256,US Census 1990
DAUS,0.0,83.732,38257,US Census 1990
DAUBERMAN,0.0,83.732,38258,US Census 1990
DATZ,0.0,83.732,38259,US Census 1990
DASE,0.0,83.732,38260,US Census 1990
DARY,0.0,83.732,38261,US Census 1990
DARTT,0.0,83.733,38262,US Census 1990
DAROCHA,0.0,83.733,38263,US Census 1990
DARIO,0.0,83.733,38264,US Census 1990
DARI,0.0,83.733,38265,US Census 1990
DARDIS,0.0,83.734,38266,US Census 1990
DAPPER,0.0,83.734,38267,US Census 1990
DANOWSKI,0.0,83.734,38268,US Census 1990
DANCEL,0.0,83.734,38269,US Census 1990
DAMI,0.0,83.734,38270,US Census 1990
DALLMANN,0.0,83.735,38271,US Census 1990
DALERE,0.0,83.735,38272,US Census 1990
DALBA,0.0,83.735,38273,US Census 1990
DAKAN,0.0,83.735,38274,US Census 1990
DAISE,0.0,83.736,38275,US Census 1990
DAILING,0.0,83.736,38276,US Census 1990
DAHAN,0.0,83.736,38277,US Census 1990
DAGNAN,0.0,83.736,38278,US Census 1990
DAGGS,0.0,83.736,38279,US Census 1990
DAGAN,0.0,83.737,38280,US Census 1990
CZARKOWSKI,0.0,83.737,38281,US Census 1990
CZAPLINSKI,0.0,83.737,38282,US Census 1990
CUTTEN,0.0,83.737,38283,US Census 1990
CURTICE,0.0,83.738,38284,US Census 1990
CURENTON,0.0,83.738,38285,US Census 1990
CURE,0.0,83.738,38286,US Census 1990
CURBOY,0.0,83.738,38287,US Census 1990
CURA,0.0,83.738,38288,US Census 1990
CULLITON,0.0,83.739,38289,US Census 1990
CULBERTH,0.0,83.739,38290,US Census 1990
CUCCHIARA,0.0,83.739,38291,US Census 1990
CUBBISON,0.0,83.739,38292,US Census 1990
CSASZAR,0.0,83.74,38293,US Census 1990
CRYTSER,0.0,83.74,38294,US Census 1990
CROTZER,0.0,83.74,38295,US Census 1990
CROSSGROVE,0.0,83.74,38296,US Census 1990
CROSSER,0.0,83.74,38297,US Census 1990
CROSHAW,0.0,83.741,38298,US Census 1990
CROISSANT,0.0,83.741,38299,US Census 1990
CROCCO,0.0,83.741,38300,US Census 1990
CRITZER,0.0,83.741,38301,US Census 1990
CREVELING,0.0,83.742,38302,US Census 1990
CRESSY,0.0,83.742,38303,US Census 1990
CREPS,0.0,83.742,38304,US Census 1990
CREESE,0.0,83.742,38305,US Census 1990
CRATIC,0.0,83.742,38306,US Census 1990
CRATE,0.0,83.743,38307,US Census 1990
CRAIGO,0.0,83.743,38308,US Census 1990
CRAIGEN,0.0,83.743,38309,US Census 1990
CRAIB,0.0,83.743,38310,US Census 1990
CRACCHIOLO,0.0,83.744,38311,US Census 1990
CRABLE,0.0,83.744,38312,US Census 1990
COYKENDALL,0.0,83.744,38313,US Census 1990
COWICK,0.0,83.744,38314,US Census 1990
COVILLE,0.0,83.744,38315,US Census 1990
COUZENS,0.0,83.745,38316,US Census 1990
COUTCH,0.0,83.745,38317,US Census 1990
COUSENS,0.0,83.745,38318,US Census 1990
COUSAIN,0.0,83.745,38319,US Census 1990
COUNSELMAN,0.0,83.746,38320,US Census 1990
COULT,0.0,83.746,38321,US Census 1990
COTTERELL,0.0,83.746,38322,US Census 1990
COTT,0.0,83.746,38323,US Census 1990
COTHAM,0.0,83.746,38324,US Census 1990
CORSAUT,0.0,83.747,38325,US Census 1990
CORRIERE,0.0,83.747,38326,US Census 1990
CORREDOR,0.0,83.747,38327,US Census 1990
CORNET,0.0,83.747,38328,US Census 1990
CORNELIA,0.0,83.748,38329,US Census 1990
CORKUM,0.0,83.748,38330,US Census 1990
COREAS,0.0,83.748,38331,US Census 1990
CORDOZA,0.0,83.748,38332,US Census 1990
CORBET,0.0,83.748,38333,US Census 1990
CORATHERS,0.0,83.749,38334,US Census 1990
CONWILL,0.0,83.749,38335,US Census 1990
CONTREAS,0.0,83.749,38336,US Census 1990
CONSUEGRA,0.0,83.749,38337,US Census 1990
CONSTANZA,0.0,83.75,38338,US Census 1990
CONOLLY,0.0,83.75,38339,US Census 1990
CONEDY,0.0,83.75,38340,US Census 1990
COMPANION,0.0,83.75,38341,US Census 1990
COMINS,0.0,83.75,38342,US Census 1990
COMBEE,0.0,83.751,38343,US Census 1990
COLOSI,0.0,83.751,38344,US Census 1990
COLOM,0.0,83.751,38345,US Census 1990
COLMENARES,0.0,83.751,38346,US Census 1990
COLLYMORE,0.0,83.752,38347,US Census 1990
COLLERAN,0.0,83.752,38348,US Census 1990
COLINA,0.0,83.752,38349,US Census 1990
COLAW,0.0,83.752,38350,US Census 1990
COLATRUGLIO,0.0,83.752,38351,US Census 1990
COLANTRO,0.0,83.753,38352,US Census 1990
COLANTONIO,0.0,83.753,38353,US Census 1990
COHEA,0.0,83.753,38354,US Census 1990
COGILL,0.0,83.753,38355,US Census 1990
CODNER,0.0,83.754,38356,US Census 1990
CODE,0.0,83.754,38357,US Census 1990
CODDING,0.0,83.754,38358,US Census 1990
COCKRAM,0.0,83.754,38359,US Census 1990
COCANOUGHER,0.0,83.754,38360,US Census 1990
COBINE,0.0,83.755,38361,US Census 1990
CLUCKEY,0.0,83.755,38362,US Census 1990
CLUCAS,0.0,83.755,38363,US Census 1990
CLOWARD,0.0,83.755,38364,US Census 1990
CLOKE,0.0,83.756,38365,US Census 1990
CLISHAM,0.0,83.756,38366,US Census 1990
CLIPPER,0.0,83.756,38367,US Census 1990
CLINEBELL,0.0,83.756,38368,US Census 1990
CLIFFE,0.0,83.756,38369,US Census 1990
CLENDENEN,0.0,83.757,38370,US Census 1990
CISOWSKI,0.0,83.757,38371,US Census 1990
CIRELLI,0.0,83.757,38372,US Census 1990
CIRAOLO,0.0,83.757,38373,US Census 1990
CIOCCA,0.0,83.758,38374,US Census 1990
CINTORA,0.0,83.758,38375,US Census 1990
CIESCO,0.0,83.758,38376,US Census 1990
CIBRIAN,0.0,83.758,38377,US Census 1990
CHUPKA,0.0,83.758,38378,US Census 1990
CHUGG,0.0,83.759,38379,US Census 1990
CHRISTMANN,0.0,83.759,38380,US Census 1990
CHOMA,0.0,83.759,38381,US Census 1990
CHIVERTON,0.0,83.759,38382,US Census 1990
CHIRINOS,0.0,83.76,38383,US Census 1990
CHINEN,0.0,83.76,38384,US Census 1990
CHIMENTI,0.0,83.76,38385,US Census 1990
CHIMA,0.0,83.76,38386,US Census 1990
CHEUVRONT,0.0,83.76,38387,US Census 1990
CHESLA,0.0,83.761,38388,US Census 1990
CHESHER,0.0,83.761,38389,US Census 1990
CHESEBRO,0.0,83.761,38390,US Census 1990
CHERN,0.0,83.761,38391,US Census 1990
CHEHEBAR,0.0,83.762,38392,US Census 1990
CHEATUM,0.0,83.762,38393,US Census 1990
CHASTINE,0.0,83.762,38394,US Census 1990
CHAPNICK,0.0,83.762,38395,US Census 1990
CHAPELLE,0.0,83.762,38396,US Census 1990
CHAMBLEY,0.0,83.763,38397,US Census 1990
CERCY,0.0,83.763,38398,US Census 1990
CELIUS,0.0,83.763,38399,US Census 1990
CELANO,0.0,83.763,38400,US Census 1990
CAYEA,0.0,83.764,38401,US Census 1990
CAVICCHI,0.0,83.764,38402,US Census 1990
CATTELL,0.0,83.764,38403,US Census 1990
CATANACH,0.0,83.764,38404,US Census 1990
CATACUTAN,0.0,83.764,38405,US Census 1990
CASTELLUCCIO,0.0,83.765,38406,US Census 1990
CASTELLANI,0.0,83.765,38407,US Census 1990
CASSMEYER,0.0,83.765,38408,US Census 1990
CASSETTA,0.0,83.765,38409,US Census 1990
CASSADA,0.0,83.766,38410,US Census 1990
CASPI,0.0,83.766,38411,US Census 1990
CASHMORE,0.0,83.766,38412,US Census 1990
CASEBIER,0.0,83.766,38413,US Census 1990
CASANAS,0.0,83.766,38414,US Census 1990
CARROTHERS,0.0,83.767,38415,US Census 1990
CARRIZAL,0.0,83.767,38416,US Census 1990
CARRIVEAU,0.0,83.767,38417,US Census 1990
CARRETERO,0.0,83.767,38418,US Census 1990
CARRADINE,0.0,83.768,38419,US Census 1990
CAROSELLA,0.0,83.768,38420,US Census 1990
CARNINE,0.0,83.768,38421,US Census 1990
CARMEL,0.0,83.768,38422,US Census 1990
CARLONI,0.0,83.768,38423,US Census 1990
CARKHUFF,0.0,83.769,38424,US Census 1990
CARDOSI,0.0,83.769,38425,US Census 1990
CARDO,0.0,83.769,38426,US Census 1990
CARCHIDI,0.0,83.769,38427,US Census 1990
CARAVELLO,0.0,83.77,38428,US Census 1990
CARANZA,0.0,83.77,38429,US Census 1990
CARANDANG,0.0,83.77,38430,US Census 1990
CAPES,0.0,83.77,38431,US Census 1990
CANTRALL,0.0,83.77,38432,US Census 1990
CANPOS,0.0,83.771,38433,US Census 1990
CANOY,0.0,83.771,38434,US Census 1990
CANNIZZARO,0.0,83.771,38435,US Census 1990
CANION,0.0,83.771,38436,US Census 1990
CANIDA,0.0,83.772,38437,US Census 1990
CANHAM,0.0,83.772,38438,US Census 1990
CANGEMI,0.0,83.772,38439,US Census 1990
CANGE,0.0,83.772,38440,US Census 1990
CANDLE,0.0,83.772,38441,US Census 1990
CANCELLIERE,0.0,83.773,38442,US Census 1990
CANARD,0.0,83.773,38443,US Census 1990
CAMARDA,0.0,83.773,38444,US Census 1990
CALVERLEY,0.0,83.773,38445,US Census 1990
CALOGERO,0.0,83.774,38446,US Census 1990
CALLENDAR,0.0,83.774,38447,US Census 1990
CALAME,0.0,83.774,38448,US Census 1990
CADRETTE,0.0,83.774,38449,US Census 1990
CACHERO,0.0,83.774,38450,US Census 1990
CACCAVALE,0.0,83.775,38451,US Census 1990
CABREROS,0.0,83.775,38452,US Census 1990
CABRERO,0.0,83.775,38453,US Census 1990
CABRARA,0.0,83.775,38454,US Census 1990
CABLER,0.0,83.776,38455,US Census 1990
BUTZER,0.0,83.776,38456,US Census 1990
BUTTE,0.0,83.776,38457,US Census 1990
BUTRICK,0.0,83.776,38458,US Census 1990
BUTALA,0.0,83.776,38459,US Census 1990
BUSTIOS,0.0,83.777,38460,US Census 1990
BUSSER,0.0,83.777,38461,US Census 1990
BUSIC,0.0,83.777,38462,US Census 1990
BUSHORN,0.0,83.777,38463,US Census 1990
BUSHER,0.0,83.778,38464,US Census 1990
BURMASTER,0.0,83.778,38465,US Census 1990
BURL,0.0,83.778,38466,US Census 1990
BURKLAND,0.0,83.778,38467,US Census 1990
BURKINS,0.0,83.779,38468,US Census 1990
BURKERT,0.0,83.779,38469,US Census 1990
BURGUENO,0.0,83.779,38470,US Census 1990
BURGRAFF,0.0,83.779,38471,US Census 1990
BUREN,0.0,83.779,38472,US Census 1990
BUREL,0.0,83.78,38473,US Census 1990
BURDON,0.0,83.78,38474,US Census 1990
BURCK,0.0,83.78,38475,US Census 1990
BURBY,0.0,83.78,38476,US Census 1990
BUOY,0.0,83.781,38477,US Census 1990
BUNK,0.0,83.781,38478,US Census 1990
BUMFORD,0.0,83.781,38479,US Census 1990
BULOCK,0.0,83.781,38480,US Census 1990
BUJNOWSKI,0.0,83.781,38481,US Census 1990
BUGGIE,0.0,83.782,38482,US Census 1990
BUFFY,0.0,83.782,38483,US Census 1990
BUDINE,0.0,83.782,38484,US Census 1990
BUCCIERO,0.0,83.782,38485,US Census 1990
BUBIER,0.0,83.783,38486,US Census 1990
BRZOSKA,0.0,83.783,38487,US Census 1990
BRYDGES,0.0,83.783,38488,US Census 1990
BRUMLOW,0.0,83.783,38489,US Census 1990
BROSSEAU,0.0,83.783,38490,US Census 1990
BROOKSHER,0.0,83.784,38491,US Census 1990
BROKKE,0.0,83.784,38492,US Census 1990
BROEKER,0.0,83.784,38493,US Census 1990
BRITTIN,0.0,83.784,38494,US Census 1990
BRISTLE,0.0,83.785,38495,US Census 1990
BRIANO,0.0,83.785,38496,US Census 1990
BRIAND,0.0,83.785,38497,US Census 1990
BRETTSCHNEIDE,0.0,83.785,38498,US Census 1990
BRESNAN,0.0,83.785,38499,US Census 1990
BRENTSON,0.0,83.786,38500,US Census 1990
BRENNEIS,0.0,83.786,38501,US Census 1990
BRENDER,0.0,83.786,38502,US Census 1990
BRAZLE,0.0,83.786,38503,US Census 1990
BRASSIL,0.0,83.787,38504,US Census 1990
BRASINGTON,0.0,83.787,38505,US Census 1990
BRANSTROM,0.0,83.787,38506,US Census 1990
BRANON,0.0,83.787,38507,US Census 1990
BRANKER,0.0,83.787,38508,US Census 1990
BRANDWEIN,0.0,83.788,38509,US Census 1990
BRANDAU,0.0,83.788,38510,US Census 1990
BRANA,0.0,83.788,38511,US Census 1990
BRALLEY,0.0,83.788,38512,US Census 1990
BRAILEY,0.0,83.789,38513,US Census 1990
BRAGUE,0.0,83.789,38514,US Census 1990
BRADE,0.0,83.789,38515,US Census 1990
BOZZI,0.0,83.789,38516,US Census 1990
BOWNDS,0.0,83.789,38517,US Census 1990
BOWMER,0.0,83.79,38518,US Census 1990
BOURNES,0.0,83.79,38519,US Census 1990
BOUR,0.0,83.79,38520,US Census 1990
BOUCHEY,0.0,83.79,38521,US Census 1990
BOTTO,0.0,83.791,38522,US Census 1990
BOTELER,0.0,83.791,38523,US Census 1990
BORROEL,0.0,83.791,38524,US Census 1990
BORRA,0.0,83.791,38525,US Census 1990
BOROSKI,0.0,83.791,38526,US Census 1990
BOOTHROYD,0.0,83.792,38527,US Census 1990
BOORD,0.0,83.792,38528,US Census 1990
BONNY,0.0,83.792,38529,US Census 1990
BONGA,0.0,83.792,38530,US Census 1990
BONATO,0.0,83.793,38531,US Census 1990
BONADONNA,0.0,83.793,38532,US Census 1990
BOLEJACK,0.0,83.793,38533,US Census 1990
BOLDMAN,0.0,83.793,38534,US Census 1990
BOISER,0.0,83.793,38535,US Census 1990
BOGGIO,0.0,83.794,38536,US Census 1990
BOGACKI,0.0,83.794,38537,US Census 1990
BOERBOOM,0.0,83.794,38538,US Census 1990
BOEHNLEIN,0.0,83.794,38539,US Census 1990
BOEHLE,0.0,83.795,38540,US Census 1990
BODAH,0.0,83.795,38541,US Census 1990
BOBST,0.0,83.795,38542,US Census 1990
BOAK,0.0,83.795,38543,US Census 1990
BLUEMEL,0.0,83.795,38544,US Census 1990
BLOCKMON,0.0,83.796,38545,US Census 1990
BLITCH,0.0,83.796,38546,US Census 1990
BLINCOE,0.0,83.796,38547,US Census 1990
BLEIER,0.0,83.796,38548,US Census 1990
BLAYDES,0.0,83.797,38549,US Census 1990
BLASIUS,0.0,83.797,38550,US Census 1990
BITTEL,0.0,83.797,38551,US Census 1990
BIR,0.0,83.797,38552,US Census 1990
BINSFELD,0.0,83.797,38553,US Census 1990
BINDEL,0.0,83.798,38554,US Census 1990
BILOTTI,0.0,83.798,38555,US Census 1990
BILLIOTT,0.0,83.798,38556,US Census 1990
BILBREW,0.0,83.798,38557,US Census 1990
BIHM,0.0,83.799,38558,US Census 1990
BIERSNER,0.0,83.799,38559,US Census 1990
BIELAT,0.0,83.799,38560,US Census 1990
BIDROWSKI,0.0,83.799,38561,US Census 1990
BICKLER,0.0,83.799,38562,US Census 1990
BIASI,0.0,83.8,38563,US Census 1990
BIANCA,0.0,83.8,38564,US Census 1990
BHOLA,0.0,83.8,38565,US Census 1990
BHAT,0.0,83.8,38566,US Census 1990
BEWICK,0.0,83.801,38567,US Census 1990
BETZEN,0.0,83.801,38568,US Census 1990
BETTRIDGE,0.0,83.801,38569,US Census 1990
BETTI,0.0,83.801,38570,US Census 1990
BETSCH,0.0,83.801,38571,US Census 1990
BESLEY,0.0,83.802,38572,US Census 1990
BESHERO,0.0,83.802,38573,US Census 1990
BESA,0.0,83.802,38574,US Census 1990
BERTOLI,0.0,83.802,38575,US Census 1990
BERSTEIN,0.0,83.803,38576,US Census 1990
BERRIEN,0.0,83.803,38577,US Census 1990
BERRIE,0.0,83.803,38578,US Census 1990
BERRELL,0.0,83.803,38579,US Census 1990
BERMEL,0.0,83.803,38580,US Census 1990
BERENGUER,0.0,83.804,38581,US Census 1990
BENZER,0.0,83.804,38582,US Census 1990
BENSING,0.0,83.804,38583,US Census 1990
BENNIE,0.0,83.804,38584,US Census 1990
BENEDIX,0.0,83.805,38585,US Census 1990
BEMO,0.0,83.805,38586,US Census 1990
BELILE,0.0,83.805,38587,US Census 1990
BEILMAN,0.0,83.805,38588,US Census 1990
BEHUNIN,0.0,83.805,38589,US Census 1990
BEHRMANN,0.0,83.806,38590,US Census 1990
BEDIENT,0.0,83.806,38591,US Census 1990
BECHT,0.0,83.806,38592,US Census 1990
BEAULE,0.0,83.806,38593,US Census 1990
BEAUDREAULT,0.0,83.807,38594,US Census 1990
BEALLE,0.0,83.807,38595,US Census 1990
BEAGLEY,0.0,83.807,38596,US Census 1990
BAYUK,0.0,83.807,38597,US Census 1990
BAYOT,0.0,83.807,38598,US Census 1990
BAYLIFF,0.0,83.808,38599,US Census 1990
BAUGESS,0.0,83.808,38600,US Census 1990
BATTISTONI,0.0,83.808,38601,US Census 1990
BATRUM,0.0,83.808,38602,US Census 1990
BASINSKI,0.0,83.809,38603,US Census 1990
BASGALL,0.0,83.809,38604,US Census 1990
BARTOLOMEI,0.0,83.809,38605,US Census 1990
BARTNIK,0.0,83.809,38606,US Census 1990
BARTL,0.0,83.809,38607,US Census 1990
BARTKO,0.0,83.81,38608,US Census 1990
BARTHOLOMAY,0.0,83.81,38609,US Census 1990
BARTHLOW,0.0,83.81,38610,US Census 1990
BARTGIS,0.0,83.81,38611,US Census 1990
BARSNESS,0.0,83.811,38612,US Census 1990
BARSKI,0.0,83.811,38613,US Census 1990
BARLETTE,0.0,83.811,38614,US Census 1990
BARICKMAN,0.0,83.811,38615,US Census 1990
BARGEN,0.0,83.811,38616,US Census 1990
BARDON,0.0,83.812,38617,US Census 1990
BARCLIFF,0.0,83.812,38618,US Census 1990
BARBU,0.0,83.812,38619,US Census 1990
BARBAR,0.0,83.812,38620,US Census 1990
BARAKAT,0.0,83.813,38621,US Census 1990
BARACANI,0.0,83.813,38622,US Census 1990
BARABAN,0.0,83.813,38623,US Census 1990
BANOS,0.0,83.813,38624,US Census 1990
BANKO,0.0,83.813,38625,US Census 1990
BANIA,0.0,83.814,38626,US Census 1990
BAMBACH,0.0,83.814,38627,US Census 1990
BALOK,0.0,83.814,38628,US Census 1990
BALOGUN,0.0,83.814,38629,US Census 1990
BALLY,0.0,83.815,38630,US Census 1990
BALDINI,0.0,83.815,38631,US Census 1990
BALCK,0.0,83.815,38632,US Census 1990
BALCER,0.0,83.815,38633,US Census 1990
BALASH,0.0,83.815,38634,US Census 1990
BAIM,0.0,83.816,38635,US Census 1990
BAILOR,0.0,83.816,38636,US Census 1990
BAHM,0.0,83.816,38637,US Census 1990
BAHAR,0.0,83.816,38638,US Census 1990
BAGSHAW,0.0,83.817,38639,US Census 1990
BAGGERLY,0.0,83.817,38640,US Census 1990
BADIE,0.0,83.817,38641,US Census 1990
BADAL,0.0,83.817,38642,US Census 1990
BACKUES,0.0,83.817,38643,US Census 1990
BABINO,0.0,83.818,38644,US Census 1990
BA,0.0,83.818,38645,US Census 1990
AYDELOTT,0.0,83.818,38646,US Census 1990
AWBREY,0.0,83.818,38647,US Census 1990
AVERSANO,0.0,83.819,38648,US Census 1990
AVANSINO,0.0,83.819,38649,US Census 1990
AUYON,0.0,83.819,38650,US Census 1990
AUKAMP,0.0,83.819,38651,US Census 1990
AUJLA,0.0,83.819,38652,US Census 1990
AUGENSTEIN,0.0,83.82,38653,US Census 1990
ASTACIO,0.0,83.82,38654,US Census 1990
AST,0.0,83.82,38655,US Census 1990
ASPLIN,0.0,83.82,38656,US Census 1990
ASATO,0.0,83.821,38657,US Census 1990
ASANO,0.0,83.821,38658,US Census 1990
ARUIZU,0.0,83.821,38659,US Census 1990
ARTALE,0.0,83.821,38660,US Census 1990
ARRICK,0.0,83.821,38661,US Census 1990
ARNEECHER,0.0,83.822,38662,US Census 1990
ARMELIN,0.0,83.822,38663,US Census 1990
ARMBRESTER,0.0,83.822,38664,US Census 1990
ARMACOST,0.0,83.822,38665,US Census 1990
ARKELL,0.0,83.823,38666,US Census 1990
ARGUE,0.0,83.823,38667,US Census 1990
