birth_date,birth_first_name,birth_last_name,birth_middle_name,birth_name,birth_year,death_date,debut_year,final_year,first_name,full_name,last_name,nickname,nicknames,player_url,source
11-30-1897,,,,,1897,01-29-1963,1925,1929,Win,Win Ballou,Ballou,Old Pard or Win,,https://www.baseball-almanac.com/players/player.php?p=ballowi01,Baseball Almanac
03-05-1897,,,,,1897,07-24-1958,1919,1928,Virgil,Virgil Barnes,Barnes,Zeke,,https://www.baseball-almanac.com/players/player.php?p=barnevi01,Baseball Almanac
07-16-1897,,,,,1897,06-07-1949,1924,1934,Hi,Hi Bell,Bell,Hi,,https://www.baseball-almanac.com/players/player.php?p=bellhi01,Baseball Almanac
11-20-1897,,,,,1897,04-03-1953,1923,1935,Larry,Larry Benton,Benton,Larry,,https://www.baseball-almanac.com/players/player.php?p=bentola01,Baseball Almanac
02-18-1897,,,,,1897,06-13-1987,1920,1935,Huck,Huck Betts,Betts,Huck or Huckleberry,,https://www.baseball-almanac.com/players/player.php?p=bettshu01,Baseball Almanac
10-09-1897,,,,,1897,05-25-1965,1920,1925,Harry,Harry Biemiller,Biemiller,,,https://www.baseball-almanac.com/players/player.php?p=biemiha01,Baseball Almanac
10-13-1897,,,,,1897,08-13-1933,1929,1929,Elliot,Elliot Bigelow,Bigelow,Gilly,,https://www.baseball-almanac.com/players/player.php?p=bigelel01,Baseball Almanac
03-05-1897,,,,,1897,07-28-1958,1921,1933,Lu,Lu Blue,Blue,Lu,,https://www.baseball-almanac.com/players/player.php?p=bluelu01,Baseball Almanac
08-24-1897,,,,,1897,09-27-1981,1928,1931,Al,Al Bool,Bool,Al,,https://www.baseball-almanac.com/players/player.php?p=boolal01,Baseball Almanac
02-17-1897,,,,,1897,08-01-1958,1922,1932,Ike,Ike Boone,Boone,Ike,,https://www.baseball-almanac.com/players/player.php?p=booneik01,Baseball Almanac
07-26-1897,,,,,1897,08-09-1948,1919,1919,Chick,Chick Bowen,Bowen,Chick,,https://www.baseball-almanac.com/players/player.php?p=bowench01,Baseball Almanac
03-19-1897,,,,,1897,12-17-1985,1920,1920,Elmer,Elmer Bowman,Bowman,Big Bow,,https://www.baseball-almanac.com/players/player.php?p=bowmael01,Baseball Almanac
08-17-1897,,,,,1897,01-31-1985,1929,1929,Joe,Joe Bradshaw,Bradshaw,Joe,,https://www.baseball-almanac.com/players/player.php?p=bradsjo01,Baseball Almanac
03-06-1897,,,,,1897,09-25-1974,1920,1920,Cliff,Cliff Brady,Brady,Cliff,,https://www.baseball-almanac.com/players/player.php?p=bradycl01,Baseball Almanac
03-04-1897,,,,,1897,06-18-1947,1915,1925,Neal,Neal Brady,Brady,,,https://www.baseball-almanac.com/players/player.php?p=bradyne01,Baseball Almanac
11-30-1897,,,,,1897,02-04-1980,1927,1927,Dud,Dud Branom,Branom,,,https://www.baseball-almanac.com/players/player.php?p=branodu01,Baseball Almanac
08-18-1897,,,,,1897,12-06-1976,1925,1926,Mandy,Mandy Brooks,Brooks,Mandy,,https://www.baseball-almanac.com/players/player.php?p=brookma01,Baseball Almanac
10-16-1897,,,,,1897,11-14-1975,1918,1928,Garland,Garland Buckeye,Buckeye,Gob,,https://www.baseball-almanac.com/players/player.php?p=buckega01,Baseball Almanac
05-13-1897,,,,,1897,09-04-1967,1918,1918,Hugh,Hugh Canavan,Canavan,Hugo,,https://www.baseball-almanac.com/players/player.php?p=canavhu01,Baseball Almanac
02-16-1897,,,,,1897,03-03-1986,1923,1923,Paul,Paul Castner,Castner,Lefty,,https://www.baseball-almanac.com/players/player.php?p=castnpa01,Baseball Almanac
11-17-1897,,,,,1897,01-07-1956,1920,1920,Davey,Davey Claire,Claire,Davey,,https://www.baseball-almanac.com/players/player.php?p=clairda01,Baseball Almanac
08-22-1897,,,,,1897,05-18-1944,1920,1921,Bob,Bob Clark,Clark,Bob,,https://www.baseball-almanac.com/players/player.php?p=clarkbo03,Baseball Almanac
10-18-1897,,,,,1897,03-16-1962,1920,1924,Sumpter,Sumpter Clarke,Clarke,,,https://www.baseball-almanac.com/players/player.php?p=clarksu01,Baseball Almanac
12-10-1897,,,,,1897,08-05-1987,1923,1923,Jocko,Jocko Conlon,Conlon,Jocko,,https://www.baseball-almanac.com/players/player.php?p=conlojo01,Baseball Almanac
10-20-1897,,,,,1897,02-18-1941,1920,1921,Tom,Tom Connelly,Connelly,Tom,,https://www.baseball-almanac.com/players/player.php?p=conneto01,Baseball Almanac
09-30-1897,,,,,1897,06-01-1966,1925,1926,Dick,Dick Cox,Cox,Dick,,https://www.baseball-almanac.com/players/player.php?p=coxdi01,Baseball Almanac
01-06-1897,,,,,1897,10-23-1983,1923,1930,Buck,Buck Crouse,Crouse,Buck or Bucky,,https://www.baseball-almanac.com/players/player.php?p=crousbu01,Baseball Almanac
05-19-1897,,,,,1897,11-09-1976,1925,1926,Bud,Bud Culloton,Culloton,Bud,,https://www.baseball-almanac.com/players/player.php?p=cullobu01,Baseball Almanac
03-09-1897,,,,,1897,01-04-1978,1924,1929,Joe,Joe Dawson,Dawson,Joe,,https://www.baseball-almanac.com/players/player.php?p=dawsojo01,Baseball Almanac
09-19-1897,,,,,1897,01-26-1975,1921,1925,Astyanax,Astyanax Douglass,Douglass,,,https://www.baseball-almanac.com/players/player.php?p=douglas01,Baseball Almanac
12-20-1897,,,,,1897,04-04-1962,1919,1926,Snooks,Snooks Dowd,Dowd,Snooks,,https://www.baseball-almanac.com/players/player.php?p=dowdsn01,Baseball Almanac
05-12-1897,,,,,1897,07-07-1982,1917,1931,Joe,Joe Dugan,Dugan,Jumping Joe,,https://www.baseball-almanac.com/players/player.php?p=duganjo01,Baseball Almanac
08-08-1897,,,,,1897,08-22-1986,1919,1922,Charlie,Charlie Eckert,Eckert,Buzz,,https://www.baseball-almanac.com/players/player.php?p=eckerch01,Baseball Almanac
12-25-1897,,,,,1897,05-06-1979,1923,1924,Allen,Allen Elliott,Elliott,Ace,,https://www.baseball-almanac.com/players/player.php?p=ellioal01,Baseball Almanac
01-24-1897,,,,,1897,01-20-1978,1920,1920,George,George Ellison,Ellison,,,https://www.baseball-almanac.com/players/player.php?p=ellisge01,Baseball Almanac
03-10-1897,,,,,1897,01-21-1949,1926,1926,Russ,Russ Ennis,Ennis,Hack,,https://www.baseball-almanac.com/players/player.php?p=ennisru01,Baseball Almanac
07-12-1897,,,,,1897,11-20-1954,1921,1921,Hod,Hod Fenner,Fenner,,,https://www.baseball-almanac.com/players/player.php?p=fenneho01,Baseball Almanac
02-16-1897,,,,,1897,04-26-1976,1918,1929,Alex,Alex Ferguson,Ferguson,Alex,,https://www.baseball-almanac.com/players/player.php?p=fergual01,Baseball Almanac
07-23-1897,,,,,1897,01-29-1977,1919,1933,Hod,Hod Ford,Ford,,,https://www.baseball-almanac.com/players/player.php?p=fordho01,Baseball Almanac
06-13-1897,,,,,1897,11-10-1969,1921,1921,George,George Foss,Foss,Deeby,,https://www.baseball-almanac.com/players/player.php?p=fossge01,Baseball Almanac
08-16-1897,,,,,1897,03-20-1938,1922,1933,Bob,Bob Fothergill,Fothergill,Fats,,https://www.baseball-almanac.com/players/player.php?p=fothebo01,Baseball Almanac
12-22-1897,,,,,1897,01-10-1970,1921,1921,Harvey,Harvey Freeman,Freeman,Buck,,https://www.baseball-almanac.com/players/player.php?p=freemha01,Baseball Almanac
10-26-1897,,,,,1897,08-25-1962,1923,1923,Skipper,Skipper Friday,Friday,,,https://www.baseball-almanac.com/players/player.php?p=fridask01,Baseball Almanac
07-23-1897,,,,,1897,10-09-1970,1920,1920,Cy,Cy Fried,Fried,Cy,,https://www.baseball-almanac.com/players/player.php?p=friedcy01,Baseball Almanac
09-09-1897,,,,,1897,03-12-1973,1919,1937,Frankie,Frankie Frisch,Frisch,Frankie or The Fordham Flash,,https://www.baseball-almanac.com/players/player.php?p=friscfr01,Baseball Almanac
09-27-1897,,,,,1897,04-30-1970,1922,1924,Chick,Chick Gagnon,Gagnon,Chick,,https://www.baseball-almanac.com/players/player.php?p=gagnoch01,Baseball Almanac
12-23-1897,,,,,1897,01-26-1979,1921,1921,Nemo,Nemo Gaines,Gaines,,,https://www.baseball-almanac.com/players/player.php?p=gainene01,Baseball Almanac
10-15-1897,,,,,1897,03-11-1959,1923,1924,Dinty,Dinty Gearin,Gearin,Dinty,,https://www.baseball-almanac.com/players/player.php?p=gearidi01,Baseball Almanac
01-15-1897,,,,,1897,12-21-1985,1922,1930,Joe,Joe Genewich,Genewich,Joe,,https://www.baseball-almanac.com/players/player.php?p=genewjo01,Baseball Almanac
07-22-1897,,,,,1897,05-15-1970,1919,1919,Ed,Ed Gerner,Gerner,Lefty,,https://www.baseball-almanac.com/players/player.php?p=gerneed01,Baseball Almanac
11-09-1897,,,,,1897,05-15-1975,1921,1933,Johnny,Johnny Gooch,Gooch,Johnny,,https://www.baseball-almanac.com/players/player.php?p=goochjo01,Baseball Almanac
10-15-1897,,,,,1897,04-16-1953,1924,1933,Sam,Sam Gray,Gray,Sad Sam,,https://www.baseball-almanac.com/players/player.php?p=graysa01,Baseball Almanac
09-17-1897,,,,,1897,02-04-1972,1924,1924,Joe,Joe Green,Green,Joe,,https://www.baseball-almanac.com/players/player.php?p=greenjo02,Baseball Almanac
12-10-1897,,,,,1897,03-25-1953,1920,1920,Tim,Tim Griesenbeck,Griesenbeck,Tim,,https://www.baseball-almanac.com/players/player.php?p=griesti01,Baseball Almanac
12-21-1897,,,,,1897,08-13-1952,1919,1933,Hal,Hal Haid,Haid,Hal,,https://www.baseball-almanac.com/players/player.php?p=haidha01,Baseball Almanac
07-29-1897,,,,,1897,10-21-1991,1926,1927,Jim,Jim Hamby,Hamby,Cracker or Jim,,https://www.baseball-almanac.com/players/player.php?p=hambyji01,Baseball Almanac
12-11-1897,,,,,1897,09-19-1963,1920,1928,Slim,Slim Harriss,Harriss,Slim,,https://www.baseball-almanac.com/players/player.php?p=harrisl01,Baseball Almanac
11-09-1897,,,,,1897,10-29-1941,1923,1934,Harvey,Harvey Hendrick,Hendrick,Gink,,https://www.baseball-almanac.com/players/player.php?p=hendrha01,Baseball Almanac
11-21-1897,,,,,1897,02-22-1981,1922,1934,Andy,Andy High,High,Andy or Handy Andy,,https://www.baseball-almanac.com/players/player.php?p=highan01,Baseball Almanac
03-14-1897,,,,,1897,11-10-1973,1917,1917,Bruce,Bruce Hitt,Hitt,,,https://www.baseball-almanac.com/players/player.php?p=hittbr01,Baseball Almanac
08-08-1897,,,,,1897,09-25-1968,1922,1930,Ken,Ken Holloway,Holloway,Ken,,https://www.baseball-almanac.com/players/player.php?p=holloke01,Baseball Almanac
06-17-1897,,,,,1897,08-03-1980,1919,1925,Bill,Bill Hubbell,Hubbell,Bill,,https://www.baseball-almanac.com/players/player.php?p=hubbebi01,Baseball Almanac
07-18-1897,,,,,1897,04-09-1982,1923,1923,Hank,Hank Hulvey,Hulvey,Hank,,https://www.baseball-almanac.com/players/player.php?p=hulveha01,Baseball Almanac
09-23-1897,,,,,1897,08-18-1976,1921,1921,Walt,Walt Irwin,Irwin,Walt,,https://www.baseball-almanac.com/players/player.php?p=irwinwa01,Baseball Almanac
02-15-1897,,,,,1897,06-07-1982,1927,1927,Art,Art Johnson,Johnson,Art,,https://www.baseball-almanac.com/players/player.php?p=johnsar01,Baseball Almanac
03-01-1897,,,,,1897,07-15-1972,1921,1921,Howie,Howie Jones,Jones,Cotton,,https://www.baseball-almanac.com/players/player.php?p=jonesho01,Baseball Almanac
11-23-1897,,,,,1897,08-23-1977,1920,1935,Bubber,Bubber Jonnard,Jonnard,Bubber,,https://www.baseball-almanac.com/players/player.php?p=jonnabu01,Baseball Almanac
11-23-1897,,,,,1897,08-27-1959,1921,1929,Claude,Claude Jonnard,Jonnard,,,https://www.baseball-almanac.com/players/player.php?p=jonnacl01,Baseball Almanac
01-09-1897,,,,,1897,02-04-1978,1917,1922,Dave,Dave Keefe,Keefe,Dave,,https://www.baseball-almanac.com/players/player.php?p=keefeda01,Baseball Almanac
09-30-1897,,,,,1897,08-21-1972,1928,1928,Eddie,Eddie Kenna,Kenna,Scrap Iron,,https://www.baseball-almanac.com/players/player.php?p=kennaed02,Baseball Almanac
03-21-1897,,,,,1897,09-06-1980,1922,1922,Gus,Gus Ketchum,Ketchum,Gus,,https://www.baseball-almanac.com/players/player.php?p=ketchgu01,Baseball Almanac
05-30-1897,,,,,1897,07-24-1989,1919,1926,Wally,Wally Kimmick,Kimmick,Wally,,https://www.baseball-almanac.com/players/player.php?p=kimmiwa01,Baseball Almanac
09-30-1897,,,,,1897,06-26-1972,1919,1921,Mike,Mike Kircher,Kircher,Mike,,https://www.baseball-almanac.com/players/player.php?p=kirchmi01,Baseball Almanac
06-12-1897,,,,,1897,11-19-1953,1926,1926,Guy,Guy Lacy,Lacy,,,https://www.baseball-almanac.com/players/player.php?p=lacygu01,Baseball Almanac
03-21-1897,,,,,1897,05-24-1970,1917,1927,Bill,Bill Lamar,Lamar,Good Time Bill,,https://www.baseball-almanac.com/players/player.php?p=lamarbi01,Baseball Almanac
11-23-1897,,,,,1897,12-10-1981,1923,1932,Freddy,Freddy Leach,Leach,Freddy,,https://www.baseball-almanac.com/players/player.php?p=leachfr01,Baseball Almanac
08-17-1897,,,,,1897,09-13-1947,1928,1928,Ed,Ed Lennon,Lennon,Ed,,https://www.baseball-almanac.com/players/player.php?p=lennoed02,Baseball Almanac
10-19-1897,,,,,1897,07-12-1979,1922,1922,Tom,Tom Lovelace,Lovelace,Long Tom or Tom,,https://www.baseball-almanac.com/players/player.php?p=lovelto01,Baseball Almanac
03-27-1897,,,,,1897,07-30-1980,1920,1925,Joe,Joe Lucey,Lucey,Scootch,,https://www.baseball-almanac.com/players/player.php?p=luceyjo01,Baseball Almanac
11-17-1897,,,,,1897,03-06-1938,1923,1927,Rube,Rube Lutzke,Lutzke,Rube,,https://www.baseball-almanac.com/players/player.php?p=lutzkru01,Baseball Almanac
02-09-1897,,,,,1897,03-16-1934,1920,1920,Adrian,Adrian Lynch,Lynch,,,https://www.baseball-almanac.com/players/player.php?p=lynchad01,Baseball Almanac
04-15-1897,,,,,1897,12-21-1976,1922,1922,Walt,Walt Lynch,Lynch,Jabber or Walt,,https://www.baseball-almanac.com/players/player.php?p=lynchwa01,Baseball Almanac
03-13-1897,,,,,1897,02-17-1972,1915,1919,Lew,Lew Malone,Malone,Lew,,https://www.baseball-almanac.com/players/player.php?p=malonle01,Baseball Almanac
10-14-1897,,,,,1897,05-06-1959,1921,1921,Vance,Vance McIlree,McIlree,,,https://www.baseball-almanac.com/players/player.php?p=mcilrva01,Baseball Almanac
11-04-1897,,,,,1897,12-23-1969,1918,1918,Ted,Ted Menze,Menze,Ted,,https://www.baseball-almanac.com/players/player.php?p=menzete01,Baseball Almanac
02-11-1897,,,,,1897,10-20-1973,1923,1923,Red,Red Miller,Miller,Red,,https://www.baseball-almanac.com/players/player.php?p=millere01,Baseball Almanac
07-05-1897,,,,,1897,08-13-1980,1918,1919,Tom,Tom Miller,Miller,Tom,,https://www.baseball-almanac.com/players/player.php?p=milleto02,Baseball Almanac
04-04-1897,,,,,1897,09-15-1963,1921,1921,Ray,Ray Miner,Miner,Lefty,,https://www.baseball-almanac.com/players/player.php?p=minerra01,Baseball Almanac
06-22-1897,,,,,1897,08-27-1976,1923,1924,Bill,Bill Mizeur,Mizeur,Bad Bill,,https://www.baseball-almanac.com/players/player.php?p=mizeubi01,Baseball Almanac
05-20-1897,,,,,1897,03-29-1963,1927,1933,Wilcy,Wilcy Moore,Moore,Cy,,https://www.baseball-almanac.com/players/player.php?p=moorewi01,Baseball Almanac
07-18-1897,,,,,1897,11-05-1983,1919,1919,Pat,Pat Murray,Murray,Pat,,https://www.baseball-almanac.com/players/player.php?p=murrapa01,Baseball Almanac
07-09-1897,,,,,1897,08-09-1969,1920,1936,Glenn,Glenn Myatt,Myatt,,,https://www.baseball-almanac.com/players/player.php?p=myattgl01,Baseball Almanac
07-02-1897,,,,,1897,07-11-1982,1926,1932,Chet,Chet Nichols,Nichols,Chet,,https://www.baseball-almanac.com/players/player.php?p=nichoch01,Baseball Almanac
03-04-1897,,,,,1897,12-07-1969,1919,1934,Lefty,Lefty O'Doul,O'Doul,Lefty,,https://www.baseball-almanac.com/players/player.php?p=odoule01,Baseball Almanac
11-05-1897,,,,,1897,11-09-1977,1918,1932,Jack,Jack Ogden,Ogden,Jack,,https://www.baseball-almanac.com/players/player.php?p=ogdenja01,Baseball Almanac
01-29-1897,,,,,1897,10-01-1977,1921,1921,Pat,Pat Patterson,Patterson,Pat,,https://www.baseball-almanac.com/players/player.php?p=pattepa01,Baseball Almanac
10-29-1897,,,,,1897,08-02-1974,1918,1918,Ty,Ty Pickup,Pickup,,,https://www.baseball-almanac.com/players/player.php?p=pickuty01,Baseball Almanac
06-06-1897,,,,,1897,05-04-1963,1924,1926,Ray,Ray Pierce,Pierce,Lefty,,https://www.baseball-almanac.com/players/player.php?p=piercra01,Baseball Almanac
08-24-1897,,,,,1897,03-08-1974,1921,1921,Frank,Frank Pratt,Pratt,Trackhorse,,https://www.baseball-almanac.com/players/player.php?p=prattfr01,Baseball Almanac
04-10-1897,,,,,1897,01-15-1961,1928,1928,Joe,Joe Price,Price,Lumber,,https://www.baseball-almanac.com/players/player.php?p=pricejo01,Baseball Almanac
10-31-1897,,,,,1897,01-06-1978,1924,1925,Tony,Tony Rego,Rego,Tony,,https://www.baseball-almanac.com/players/player.php?p=regoto01,Baseball Almanac
12-18-1897,,,,,1897,09-10-1975,1921,1932,Lance,Lance Richbourg,Richbourg,,,https://www.baseball-almanac.com/players/player.php?p=richbla01,Baseball Almanac
03-17-1897,,,,,1897,11-15-1958,1923,1930,Harry,Harry Riconda,Riconda,Harry,,https://www.baseball-almanac.com/players/player.php?p=riconha01,Baseball Almanac
01-07-1897,,,,,1897,06-07-1972,1922,1927,Topper,Topper Rigney,Rigney,Topper,,https://www.baseball-almanac.com/players/player.php?p=rigneto01,Baseball Almanac
09-13-1897,,,,,1897,08-26-1970,1920,1932,Eddie,Eddie Rommel,Rommel,Eddie,,https://www.baseball-almanac.com/players/player.php?p=rommeed01,Baseball Almanac
07-03-1897,,,,,1897,11-03-1958,1923,1928,Heinie,Heinie Sand,Sand,Henie,,https://www.baseball-almanac.com/players/player.php?p=sandhe01,Baseball Almanac
12-21-1897,,,,,1897,05-03-1953,1926,1928,Pete,Pete Scott,Scott,Pete,,https://www.baseball-almanac.com/players/player.php?p=scottpe01,Baseball Almanac
04-26-1897,,,,,1897,02-19-1961,1922,1923,Epp,Epp Sell,Sell,,,https://www.baseball-almanac.com/players/player.php?p=sellep01,Baseball Almanac
02-11-1897,,,,,1897,07-20-1955,1915,1915,Joe,Joe Shannon,Shannon,Joe,,https://www.baseball-almanac.com/players/player.php?p=shannjo01,Baseball Almanac
02-11-1897,,,,,1897,04-12-1970,1915,1926,Red,Red Shannon,Shannon,Red,,https://www.baseball-almanac.com/players/player.php?p=shannre01,Baseball Almanac
05-03-1897,,,,,1897,11-08-1975,1924,1924,Ray,Ray Shepardson,Shepardson,Ray,,https://www.baseball-almanac.com/players/player.php?p=shepara01,Baseball Almanac
07-18-1897,,,,,1897,11-16-1965,1924,1924,Ed,Ed Sherling,Sherling,Ed or Shine,,https://www.baseball-almanac.com/players/player.php?p=sherled01,Baseball Almanac
03-30-1897,,,,,1897,08-30-1978,1916,1927,Ed,Ed Sicking,Sicking,Ed,,https://www.baseball-almanac.com/players/player.php?p=sickied01,Baseball Almanac
12-14-1897,,,,,1897,02-28-1973,1923,1924,Syl,Syl Simon,Simon,Sammy,,https://www.baseball-almanac.com/players/player.php?p=simonsy01,Baseball Almanac
06-25-1897,,,,,1897,08-04-1944,1922,1923,Camp,Camp Skinner,Skinner,,,https://www.baseball-almanac.com/players/player.php?p=skinnca01,Baseball Almanac
02-14-1897,,,,,1897,06-08-1963,1919,1930,Earl,Earl Smith,Smith,Oil,,https://www.baseball-almanac.com/players/player.php?p=smithea02,Baseball Almanac
01-06-1897,,,,,1897,09-29-1974,1924,1930,By,By Speece,Speece,,,https://www.baseball-almanac.com/players/player.php?p=speecby01,Baseball Almanac
10-20-1897,,,,,1897,03-16-1988,1919,1928,Jigger,Jigger Statz,Statz,,,https://www.baseball-almanac.com/players/player.php?p=statzji01,Baseball Almanac
01-01-1897,,,,,1897,01-13-1980,1920,1920,Monty,Monty Swartz,Swartz,Dazzy,,https://www.baseball-almanac.com/players/player.php?p=swartmo01,Baseball Almanac
12-27-1897,,,,,1897,09-14-1969,1921,1929,Jackie,Jackie Tavener,Tavener,Rabbit,,https://www.baseball-almanac.com/players/player.php?p=tavenja01,Baseball Almanac
10-22-1897,,,,,1897,12-12-1963,1926,1930,Myles,Myles Thomas,Thomas,,,https://www.baseball-almanac.com/players/player.php?p=thomamy01,Baseball Almanac
01-03-1897,,,,,1897,01-24-1977,1923,1923,Pete,Pete Turgeon,Turgeon,Pete,,https://www.baseball-almanac.com/players/player.php?p=turgepe01,Baseball Almanac
06-15-1897,,,,,1897,12-03-1974,1921,1921,Cy,Cy Twombly,Twombly,Cy,,https://www.baseball-almanac.com/players/player.php?p=twombcy01,Baseball Almanac
04-20-1897,,,,,1897,03-09-1990,1920,1920,Lou,Lou Vedder,Vedder,Lou,,https://www.baseball-almanac.com/players/player.php?p=veddelo01,Baseball Almanac
02-25-1897,,,,,1897,10-18-1982,1924,1925,Bob,Bob Vines,Vines,Bob,,https://www.baseball-almanac.com/players/player.php?p=vinesbo01,Baseball Almanac
04-30-1897,,,,,1897,01-15-1966,1920,1920,Walt,Walt Walsh,Walsh,Walt,,https://www.baseball-almanac.com/players/player.php?p=walshwa01,Baseball Almanac
11-26-1897,,,,,1897,12-19-1984,1921,1926,Bill,Bill Warwick,Warwick,Bill,,https://www.baseball-almanac.com/players/player.php?p=warwibi01,Baseball Almanac
09-17-1897,,,,,1897,05-23-1965,1925,1933,Earl,Earl Webb,Webb,Spider,,https://www.baseball-almanac.com/players/player.php?p=webbea01,Baseball Almanac
08-10-1897,,,,,1897,07-25-1957,1919,1927,Frank,Frank Welch,Welch,Bugger,,https://www.baseball-almanac.com/players/player.php?p=welchfr01,Baseball Almanac
12-16-1897,,,,,1897,05-08-1980,1923,1923,Fred,Fred Wigington,Wigington,,,https://www.baseball-almanac.com/players/player.php?p=wiginfr01,Baseball Almanac
10-26-1897,,,,,1897,11-01-1969,1919,1923,George,George Winn,Winn,Breezy,,https://www.baseball-almanac.com/players/player.php?p=winnge01,Baseball Almanac
10-31-1897,,,,,1897,07-12-1968,1921,1924,Kettle,Kettle Wirts,Wirts,Kettle,,https://www.baseball-almanac.com/players/player.php?p=wirtske01,Baseball Almanac
02-15-1897,,,,,1897,11-27-1957,1923,1923,Chuck,Chuck Wolfe,Wolfe,,,https://www.baseball-almanac.com/players/player.php?p=wolfech01,Baseball Almanac
04-10-1897,,,,,1897,10-22-1927,1917,1926,Ross,Ross Youngs,Youngs,Pep or Ross,,https://www.baseball-almanac.com/players/player.php?p=youngro01,Baseball Almanac
,,,,,1898,,,,Luis,Luis García,García,,,https://www.baseball-almanac.com/players/player.php?p=garcilu04,Baseball Almanac
,,,,,1898,,,,Juan,Juan Soto,Soto,Soto Pacheco,,https://www.baseball-almanac.com/players/player.php?p=sotoju01,Baseball Almanac
06-21-1898,,,,,1898,11-24-1970,1923,1927,Spencer,Spencer Adams,Adams,,,https://www.baseball-almanac.com/players/player.php?p=adamssp02,Baseball Almanac
12-04-1898,,,,,1898,01-12-1970,1918,1918,Doc,Doc Bass,Bass,Doc,,https://www.baseball-almanac.com/players/player.php?p=bassdo01,Baseball Almanac
07-11-1898,,,,,1898,05-05-1989,1923,1925,Joe,Joe Batchelder,Batchelder,Win,,https://www.baseball-almanac.com/players/player.php?p=batchjo01,Baseball Almanac
11-30-1898,,,,,1898,02-04-1979,1918,1918,Lou,Lou Bauer,Bauer,Lou,,https://www.baseball-almanac.com/players/player.php?p=bauerlo01,Baseball Almanac
03-08-1898,,,,,1898,05-08-1927,1922,1923,Phil,Phil Bedgood,Bedgood,Phil,,https://www.baseball-almanac.com/players/player.php?p=bedgoph01,Baseball Almanac
07-27-1898,,,,,1898,12-22-1968,1923,1932,Benny,Benny Bengough,Bengough,Benny,,https://www.baseball-almanac.com/players/player.php?p=bengobe01,Baseball Almanac
01-28-1898,,,,,1898,09-20-1973,1923,1924,Jim,Jim Bishop,Bishop,Jim,,https://www.baseball-almanac.com/players/player.php?p=bishoji01,Baseball Almanac
10-17-1898,,,,,1898,06-12-1973,1922,1923,Clint,Clint Blume,Blume,Clint,,https://www.baseball-almanac.com/players/player.php?p=blumecl01,Baseball Almanac
08-02-1898,,,,,1898,09-03-1959,1922,1922,Emmett,Emmett Bowles,Bowles,Chief,,https://www.baseball-almanac.com/players/player.php?p=bowleem01,Baseball Almanac
07-22-1898,,,,,1898,10-13-1977,1924,1924,Joe,Joe Bratcher,Bratcher,Goobers,,https://www.baseball-almanac.com/players/player.php?p=bratcjo01,Baseball Almanac
05-24-1898,,,,,1898,05-21-1969,1923,1924,Dennis,Dennis Burns,Burns,,,https://www.baseball-almanac.com/players/player.php?p=burnsde01,Baseball Almanac
01-29-1898,,,,,1898,02-02-1972,1919,1928,Dick,Dick Burrus,Burrus,Dick,,https://www.baseball-almanac.com/players/player.php?p=burrudi01,Baseball Almanac
02-26-1898,,,,,1898,08-21-1987,1921,1922,Frank,Frank Callaway,Callaway,Cal,,https://www.baseball-almanac.com/players/player.php?p=callafr01,Baseball Almanac
02-19-1898,,,,,1898,02-24-1960,1922,1922,Uke,Uke Clanton,Clanton,Cat or Uke,,https://www.baseball-almanac.com/players/player.php?p=clantuk01,Baseball Almanac
09-27-1898,,,,,1898,08-27-1971,1927,1929,Bill,Bill Clarkson,Clarkson,Blackie,,https://www.baseball-almanac.com/players/player.php?p=clarkbi02,Baseball Almanac
08-14-1898,,,,,1898,01-13-1978,1926,1926,Bill,Bill Clowers,Clowers,Bill,,https://www.baseball-almanac.com/players/player.php?p=clowebi01,Baseball Almanac
08-29-1898,,,,,1898,07-09-1968,1927,1930,Hap,Hap Collard,Collard,Hap or The Smoke,,https://www.baseball-almanac.com/players/player.php?p=collaha01,Baseball Almanac
08-31-1898,,,,,1898,01-27-1978,1921,1934,Sarge,Sarge Connally,Connally,Sarge,,https://www.baseball-almanac.com/players/player.php?p=connasa01,Baseball Almanac
11-19-1898,,,,,1898,12-11-1954,1919,1922,Harry,Harry Courtney,Courtney,,,https://www.baseball-almanac.com/players/player.php?p=courtha01,Baseball Almanac
12-16-1898,,,,,1898,07-14-1951,1923,1925,Dee,Dee Cousineau,Cousineau,Dee,,https://www.baseball-almanac.com/players/player.php?p=couside01,Baseball Almanac
08-30-1898,,,,,1898,02-11-1950,1921,1938,Kiki,Kiki Cuyler,Cuyler,Cuy or Kiki,,https://www.baseball-almanac.com/players/player.php?p=cuyleki01,Baseball Almanac
05-28-1898,,,,,1898,06-13-1976,1920,1920,Claude,Claude Davenport,Davenport,Big Dave or Shorty Davenport,,https://www.baseball-almanac.com/players/player.php?p=davencl01,Baseball Almanac
06-14-1898,,,,,1898,03-09-1978,1922,1922,Bill,Bill Doran,Doran,Bill,,https://www.baseball-almanac.com/players/player.php?p=doranbi01,Baseball Almanac
04-23-1898,,,,,1898,11-15-1928,1923,1923,Charlie,Charlie Dorman,Dorman,Slats,,https://www.baseball-almanac.com/players/player.php?p=dormach01,Baseball Almanac
04-14-1898,,,,,1898,04-15-1961,1925,1931,Jess,Jess Doyle,Doyle,Jess,,https://www.baseball-almanac.com/players/player.php?p=doyleje01,Baseball Almanac
05-09-1898,,,,,1898,04-18-1986,1925,1925,George,George Durning,Durning,,,https://www.baseball-almanac.com/players/player.php?p=durnige01,Baseball Almanac
